"","LOCUS","ALL","Jam","Mor","Mt","Nap","Shin"
"1","J42",25.031418728694,9.32541330152448,7.99638594145615,9.01184484308792,8.73031282529468,8.71203642101359
"2","WF22",40.6068107192943,12.7274360292271,12.9744816617181,11.9846763695263,12.7441499676793,11.8613459576333
"3","PAM27",24.0695281332113,5.74424214970958,6.03587117357398,7.16788400643422,7.86670051345259,7.0006040856751
"4","PAM79",44.9346412824102,13.2786668866523,11.4611067068337,12.300327748886,13.0038784744667,12.2456764153572
"5","WF16",24.9899406249552,7.63740418933155,7.68420674048452,7.67364941337352,7.56105881116167,7.34841006587849
"6","WF33",35.8752553630234,12.2484850349134,11.5941775980929,11.4598178273767,11.6686434966785,11.7961586186453
"7","WF3",18.3330610122293,7.10027133552171,6.4213805794677,6.89249890532464,6.83202876228241,6.78417362717651
"8","WF517",41.9527330883922,11.8948911088075,11.1633960259081,11.778605950912,11.0864628037143,11.8532477590738
"9","WF196",24.7753344265262,9.61217920928318,9.317339706905,9.47182517042451,9.16092705947428,9.05923048107708
"10","WF223",32.6890586539593,10.8824832194268,9.87297224383221,10.6791229604903,11.5463537792546,10.9412845993874
"11","WF421",26.8209089489004,9.33758465670134,8.50367928104241,8.74754039112496,10.1066081177892,9.13000720881252
"12","A441",15.8887125623568,6.859936923465,6.967969348659,7.51304618484783,7.80875112682893,7.22618478798676
"13","PAM21",13,5.41195361412912,5.15592589527991,5.62728541680473,5.52526076143215,5.53764342816093
"14","PSY087",5.9913334548918,3.84110194359492,3.57722411061042,3.31882232835575,3.83499607904512,3.34111331743956
"15","PSY022",14.9431822188407,3.26528462115075,4.49399850744171,3.33353726618877,3.66653334739805,3.95180411475875
"16","WF12",6.45606792132338,2.97962122632774,2.96446045710355,3.33179447174994,2.9844265532664,3.03509655818937
"17","WF32",24.7194159317566,8.13243327336776,6,7.27473520751398,9.07177033492823,7.49241803935835
