"","GRP","LOCUS","N_ALLELES","EVENNESS","Ho","Hs","Ht","Fis","SHANNON_IDX","SIMPSON_IDX","STODD_TAYLOR_IDX"
"533","2016","WF33",34,0.831434320298582,0.9435,0.9556,0.9556,0.0127,3.23183811249609,0.952887101407641,21.2256097560976
"534","2016","WF3",18,0.500848876598497,0.7697,0.756,0.756,-0.0181,1.96253741209095,0.753929428102512,4.06387481562239
"535","2016","WF517",41,0.822920388027084,0.896,0.9591,0.9591,0.0659,3.31476224846898,0.956179625112767,22.8204346168509
"536","2016","WF196",24,0.728740952529906,0.931,0.9105,0.9105,-0.0226,2.67635525993822,0.907930373893513,10.8613452914798
"537","2016","WF223",28,0.821726711993005,0.9387,0.9398,0.9398,0.0013,2.9489767758748,0.93695660356054,15.8620895522388
"538","2016","WF421",24,0.755370939739755,0.9467,0.907,0.907,-0.0437,2.60184953647095,0.904155555555556,10.4335729190818
"539","2016","A441",13,0.816788107684413,0.8786,0.8653,0.8653,-0.0153,2.15928103929096,0.862270408163265,7.26060381552139
"540","2016","PAM21",11,0.840540280572735,0.7174,0.8061,0.8061,0.11,1.76556533759695,0.802851291745432,5.07231322413104
"541","2016","PSY087",6,0.572049314314383,0.6133,0.5069,0.5069,-0.2098,1.02572969668496,0.505799578767437,2.02347055371977
"542","2016","PSY022",12,0.652656217733399,0.6478,0.5843,0.5843,-0.1086,1.14403687482461,0.582690558126656,2.39630331753555
"543","2016","WF12",4,0.80896008598559,0.6045,0.587,0.587,-0.0299,1.00980364181101,0.585352229563663,2.41168546245333
"544","2016","WF32",23,0.634816805214463,0.6691,0.8601,0.8601,0.2221,2.34051493748503,0.856296257957663,6.95876103007383
"545","2015","J42",14,0.567524301597556,0.7826,0.8261,0.8261,0.0526,2.12541575653093,0.807183364839319,5.18627450980392
"546","2015","WF22",21,0.821508239410484,0.9565,0.9496,0.9496,-0.0073,2.8305270721022,0.929111531190926,14.1066666666667
"547","2015","PAM27",11,0.738436998458934,0.65,0.8474,0.8474,0.2329,1.97710390629368,0.82125,5.59440559440559
"548","2015","PAM79",24,0.85807532849936,0.95,0.9697,0.9697,0.0204,3.04564899953548,0.945,18.1818181818182
"549","2015","WF16",13,0.767290736361659,0.9091,0.8853,0.8853,-0.0269,2.24083608081051,0.865702479338843,7.44615384615385
"550","2015","WF33",21,0.765527127324681,1,0.9427,0.9427,-0.0608,2.81876287190443,0.9234404536862,13.0617283950617
"551","2015","WF3",11,0.568802196015178,0.75,0.7776,0.7776,0.0355,1.87052994100008,0.7575,4.12371134020619
"552","2015","WF517",20,0.879516455782112,0.8696,0.9565,0.9565,0.0909,2.83601993165037,0.933837429111531,15.1142857142857
"553","2015","WF196",12,0.868876342417266,0.9048,0.9071,0.9071,0.0026,2.29249683676371,0.885487528344671,8.73267326732673
"554","2015","WF223",15,0.862754885701282,0.9545,0.9275,0.9275,-0.0292,2.51020456507721,0.90702479338843,10.7555555555556
"555","2015","WF421",9,0.831208179431887,0.9444,0.8497,0.8497,-0.1115,1.91989585139701,0.828703703703704,5.83783783783784
"556","2015","A441",10,0.801963705840333,0.8636,0.8582,0.8582,-0.0063,2.01363268309779,0.838842975206612,6.20512820512821
"557","2015","PAM21",5,0.849489929494312,0.7619,0.7643,0.7643,0.0031,1.49469068225316,0.746031746031746,3.9375
"558","2015","PSY087",3,0.709152201494316,0.5652,0.4328,0.4328,-0.3059,0.716730703221795,0.426275992438563,1.74299835255354
"559","2015","PSY022",5,0.722160880993489,0.6,0.6013,0.6013,0.0022,1.08588284553587,0.58625,2.41691842900302
"560","2015","WF12",3,0.870856296420078,0.6818,0.5931,0.5931,-0.1496,0.954076541091501,0.581611570247934,2.39012345679012
"561","2015","WF32",10,0.778281190473934,0.6522,0.8557,0.8557,0.2379,2.00085498922811,0.832703213610586,5.9774011299435
"562","adults","J42",19,0.691602869089887,0.8514,0.8963,0.8963,0.0502,2.54126529009838,0.889974433893353,9.08879668049792
"563","adults","WF22",25,0.899241262187562,0.9459,0.9555,0.9555,0.01,3.0761757200021,0.948959094229365,19.5921288014311
"564","adults","PAM27",15,0.728269935834711,0.8451,0.8471,0.8471,0.0024,2.11244534921032,0.841102955762746,6.29338327091136
"565","adults","PAM79",34,0.748971436600977,0.9155,0.9564,0.9564,0.0428,3.26037099718183,0.949414798651061,19.7686274509804
"566","adults","WF16",21,0.609471398133006,0.863,0.8451,0.8451,-0.0212,2.25965039225133,0.839463313942578,6.22910578609001
"567","adults","WF33",26,0.863517557805143,0.9565,0.9525,0.9525,-0.0043,3.05067360486253,0.945599663936148,18.3822393822394
"568","adults","WF3",11,0.588158948954052,0.7797,0.7688,0.7688,-0.0141,1.86506118312014,0.762424590634875,4.20918984280532
