,Year,Week,Date,value,catcorr,Bay
96,2016,14,2016-08-18,50,1.534401164,Shinnecock
97,2016,14,2016-08-18,50,1.534401164,Shinnecock
98,2016,14,2016-08-18,65,1.222917267,Shinnecock
99,2016,14,2016-08-18,53,1.465183611,Shinnecock
100,2016,15,2016-08-25,48,1.579981685,Shinnecock
101,2016,15,2016-08-25,66,1.207315414,Shinnecock
102,2016,16,2016-08-31,82,1.056242824,Shinnecock
103,2016,2,2016-05-26,25,1.920471453,Shinnecock
104,2016,2,2016-05-26,28,1.897656828,Shinnecock
105,2016,2,2016-05-26,30,1.879380895,Shinnecock
106,2016,2,2016-05-26,29,1.888847084,Shinnecock
107,2016,3,2016-06-01,35,1.821184158,Shinnecock
108,2016,3,2016-06-01,60,1.312908509,Shinnecock
109,2016,3,2016-06-01,35,1.821184158,Shinnecock
110,2016,3,2016-06-01,38,1.776793505,Shinnecock
111,2016,3,2016-06-01,41,1.72507236,Shinnecock
112,2016,4,2016-06-10,44,1.666511679,Shinnecock
113,2016,4,2016-06-10,21,1.943668526,Shinnecock
114,2016,4,2016-06-10,48,1.579981685,Shinnecock
115,2016,4,2016-06-10,44,1.666511679,Shinnecock
116,2016,4,2016-06-10,31,1.869227139,Shinnecock
117,2016,4,2016-06-10,35,1.821184158,Shinnecock
118,2016,4,2016-06-10,42,1.706267717,Shinnecock
119,2016,4,2016-06-10,45,1.645659032,Shinnecock
120,2016,5,2016-06-17,63,1.256570527,Shinnecock
121,2016,5,2016-06-17,46,1.624237594,Shinnecock
122,2016,5,2016-06-17,53,1.465183611,Shinnecock
123,2016,5,2016-06-17,55,1.419611821,Shinnecock
124,2016,5,2016-06-17,47,1.60231878,Shinnecock
125,2016,5,2016-06-17,28,1.897656828,Shinnecock
126,2016,5,2016-06-17,43,1.686732572,Shinnecock
127,2016,5,2016-06-17,30,1.879380895,Shinnecock
128,2016,6,2016-06-24,60,1.312908509,Shinnecock
129,2016,6,2016-06-24,56,1.397281537,Shinnecock
130,2016,6,2016-06-24,35,1.821184158,Shinnecock
131,2016,6,2016-06-24,55,1.419611821,Shinnecock
132,2016,6,2016-06-24,49,1.557312077,Shinnecock
133,2016,6,2016-06-24,44,1.666511679,Shinnecock
134,2016,6,2016-06-24,57,1.375371023,Shinnecock
135,2016,6,2016-06-24,70,1.1530424,Shinnecock
136,2016,7,2016-07-01,73,1.120442198,Shinnecock
137,2016,7,2016-07-01,67,1.192534974,Shinnecock
138,2016,7,2016-07-01,38,1.776793505,Shinnecock
139,2016,7,2016-07-01,65,1.222917267,Shinnecock
140,2016,7,2016-07-01,70,1.1530424,Shinnecock
141,2016,7,2016-07-01,64,1.239338748,Shinnecock
142,2016,7,2016-07-01,68,1.178570912,Shinnecock
143,2016,7,2016-07-01,57,1.375371023,Shinnecock
144,2016,8,2016-07-08,46,1.624237594,Shinnecock
145,2016,8,2016-07-08,65,1.222917267,Shinnecock
146,2016,8,2016-07-08,35,1.821184158,Shinnecock
147,2016,8,2016-07-08,52,1.48823882,Shinnecock
148,2016,8,2016-07-08,59,1.333117473,Shinnecock
149,2016,9,2016-07-13,75,1.102189954,Shinnecock
150,2016,9,2016-07-13,79,1.072906492,Shinnecock
151,2016,9,2016-07-13,72,1.130583272,Shinnecock
152,2016,9,2016-07-13,60,1.312908509,Shinnecock
153,2016,9,2016-07-13,55,1.419611821,Shinnecock
154,2016,9,2016-07-13,55,1.419611821,Shinnecock
155,2016,9,2016-07-13,52,1.48823882,Shinnecock
156,2016,9,2016-07-13,45,1.645659032,Shinnecock
157,2016,9,2016-07-13,48,1.579981685,Shinnecock
158,2016,10,2016-07-21,76,1.094015457,Shinnecock
159,2016,10,2016-07-21,67,1.192534974,Shinnecock
160,2016,10,2016-07-21,55,1.419611821,Shinnecock
161,2016,10,2016-07-21,40,1.743111015,Shinnecock
162,2016,11,2016-07-28,68,1.178570912,Shinnecock
163,2016,11,2016-07-28,49,1.557312077,Shinnecock
164,2016,11,2016-07-28,89,1.030258401,Shinnecock
165,2016,11,2016-07-28,55,1.419611821,Shinnecock
166,2016,11,2016-07-28,80,1.066899923,Shinnecock
167,2016,11,2016-07-28,84,1.047197521,Shinnecock
168,2016,12,2016-08-04,57,1.375371023,Shinnecock
169,2016,12,2016-08-04,66,1.207315414,Shinnecock
170,2016,12,2016-08-04,50,1.534401164,Shinnecock
171,2016,12,2016-08-04,46,1.624237594,Shinnecock
172,2016,12,2016-08-04,75,1.102189954,Shinnecock
173,2016,13,2016-08-11,56,1.397281537,Shinnecock
174,2016,14,2016-08-18,75,1.102189954,Shinnecock
175,2016,14,2016-08-18,78,1.079406463,Shinnecock
176,2016,14,2016-08-18,56,1.397281537,Shinnecock
177,2016,14,2016-08-18,55,1.419611821,Shinnecock
178,2016,14,2016-08-18,77,1.086431913,Shinnecock
179,2016,2,2016-05-26,28,1.897656828,Shinnecock
180,2016,2,2016-05-26,31,1.869227139,Shinnecock
181,2016,2,2016-05-26,24,1.926980625,Shinnecock
182,2016,3,2016-06-01,37,1.792410193,Shinnecock
183,2016,3,2016-06-01,37,1.792410193,Shinnecock
184,2016,3,2016-06-01,41,1.72507236,Shinnecock
185,2016,4,2016-06-10,44,1.666511679,Shinnecock
186,2016,4,2016-06-10,36,1.807205438,Shinnecock
187,2016,4,2016-06-10,46,1.624237594,Shinnecock
188,2016,4,2016-06-10,44,1.666511679,Shinnecock
189,2016,4,2016-06-10,47,1.60231878,Shinnecock
190,2016,4,2016-06-10,40,1.743111015,Shinnecock
191,2016,4,2016-06-10,42,1.706267717,Shinnecock
192,2016,5,2016-06-17,28,1.897656828,Shinnecock
193,2016,5,2016-06-17,32,1.858356313,Shinnecock
194,2016,5,2016-06-17,52,1.48823882,Shinnecock
195,2016,5,2016-06-17,41,1.72507236,Shinnecock
196,2016,5,2016-06-17,57,1.375371023,Shinnecock
197,2016,5,2016-06-17,31,1.869227139,Shinnecock
198,2016,5,2016-06-17,56,1.397281537,Shinnecock
199,2016,5,2016-06-17,43,1.686732572,Shinnecock
200,2016,6,2016-06-24,44,1.666511679,Shinnecock
201,2016,6,2016-06-24,35,1.821184158,Shinnecock
202,2016,6,2016-06-24,57,1.375371023,Shinnecock
203,2016,6,2016-06-24,45,1.645659032,Shinnecock
204,2016,6,2016-06-24,67,1.192534974,Shinnecock
205,2016,6,2016-06-24,55,1.419611821,Shinnecock
206,2016,6,2016-06-24,67,1.192534974,Shinnecock
207,2016,7,2016-07-01,65,1.222917267,Shinnecock
208,2016,7,2016-07-01,56,1.397281537,Shinnecock
209,2016,7,2016-07-01,60,1.312908509,Shinnecock
210,2016,7,2016-07-01,46,1.624237594,Shinnecock
211,2016,7,2016-07-01,62,1.274595083,Shinnecock
212,2016,7,2016-07-01,59,1.333117473,Shinnecock
213,2016,7,2016-07-01,65,1.222917267,Shinnecock
214,2016,7,2016-07-01,60,1.312908509,Shinnecock
215,2016,8,2016-07-08,76,1.094015457,Shinnecock
216,2016,8,2016-07-08,65,1.222917267,Shinnecock
217,2016,8,2016-07-08,46,1.624237594,Shinnecock
218,2016,9,2016-07-13,75,1.102189954,Shinnecock
219,2016,9,2016-07-13,69,1.165412156,Shinnecock
220,2016,9,2016-07-13,80,1.066899923,Shinnecock
221,2016,9,2016-07-13,44,1.666511679,Shinnecock
222,2016,9,2016-07-13,86,1.03954598,Shinnecock
223,2016,9,2016-07-13,46,1.624237594,Shinnecock
224,2016,9,2016-07-13,60,1.312908509,Shinnecock
225,2016,9,2016-07-13,64,1.239338748,Shinnecock
226,2016,9,2016-07-13,41,1.72507236,Shinnecock
227,2016,10,2016-07-21,71,1.141440903,Shinnecock
228,2016,10,2016-07-21,62,1.274595083,Shinnecock
229,2016,11,2016-07-28,69,1.165412156,Shinnecock
230,2016,11,2016-07-28,49,1.557312077,Shinnecock
231,2016,11,2016-07-28,55,1.419611821,Shinnecock
