"","rowname","strata.1","strata.2","Fst","Pr.exact","Pr.adj","sig"
"1","Mt_1 (25) v. Mt_2 (29)","Mt_1","Mt_2",0.000338797351499889,0.415584415584416,0.623376623376623,"not sig"
"2","Mt_1 (25) v. Mt_3 (62)","Mt_1","Mt_3",-0.00277466769242374,0.938061938061938,0.938061938061938,"not sig"
"3","Mt_1 (25) v. Mt_4 (12)","Mt_1","Mt_4",0.0010011167643355,0.398601398601399,0.623376623376623,"not sig"
"4","Mt_2 (29) v. Mt_3 (62)","Mt_2","Mt_3",0.00323920552495482,0.032967032967033,0.197802197802198,"not sig"
"5","Mt_2 (29) v. Mt_4 (12)","Mt_2","Mt_4",0.00339038067941175,0.222777222777223,0.623376623376623,"not sig"
"6","Mt_3 (62) v. Mt_4 (12)","Mt_3","Mt_4",-0.000899350691114763,0.579420579420579,0.695304695304695,"not sig"
