"","rowname","strata.1","strata.2","Fst","Pr.exact","Pr.adj","sig"
"1","Shin_1_2016 (33) v. Shin_1_2017 (19)","Shin_1_2016","Shin_1_2017",0.0131846282391096,0.001998001998002,0.00599400599400599,"sig"
"2","Shin_1_2016 (33) v. Shin_2_2016 (20)","Shin_1_2016","Shin_2_2016",-0.00328986744540479,0.864135864135864,0.864135864135864,"not sig"
"3","Shin_1_2016 (33) v. Shin_2_2017 (35)","Shin_1_2016","Shin_2_2017",0.0122810810213325,0.000999000999000999,0.00599400599400599,"sig"
"4","Shin_1_2017 (19) v. Shin_2_2016 (20)","Shin_1_2017","Shin_2_2016",0.00340852136583027,0.196803196803197,0.236163836163836,"not sig"
"5","Shin_1_2017 (19) v. Shin_2_2017 (35)","Shin_1_2017","Shin_2_2017",0.00298222949239088,0.134865134865135,0.202297702297702,"not sig"
"6","Shin_2_2016 (20) v. Shin_2_2017 (35)","Shin_2_2016","Shin_2_2017",0.00847646362085079,0.012987012987013,0.025974025974026,"sig"
