index,Location,,J42,WF22,PAM27,PAM79,WF16,WF33,WF3,WF517,WF196,WF223,WF421,A441,PAM21,Psy087,Psy022,WF12,WF32
111,Shin16,1,117139,223227,178182,192194,236250,324360,174174,215247,183191,255257,280280,182182,0,155161,235243,260260,217217
112,Shin16,2,117145,0,166174,178204,238252,316340,168168,263275,223251,245277,0,182182,217219,155161,235243,256260,219219
113,Shin16,0,131133,207267,166174,182186,230234,300328,174194,261267,187215,257283,288328,180186,215219,155161,235243,256260,217217
114,Shin16,1,117117,0,160160,174214,230234,292332,168178,279287,191195,231245,252280,184186,219219,161161,235243,260260,215283
115,Shin16,5,125139,295311,178178,168182,234236,272372,0,251251,163175,263265,0,0,0,161163,0,256256,213219
116,Shin16,15,0,207267,0,0,0,0,0,0,0,0,0,0,211235,0,0,0,0
117,Shin16,1,117157,259315,160180,182198,236236,252284,168188,261271,191191,0,272304,188188,211215,161163,235243,256260,217217
118,Shin16,0,117117,211319,160160,184186,238238,312312,168168,263287,183195,255257,300308,178182,211215,161161,243243,256260,211215
119,Shin16,5,117117,207235,0,186188,236250,324324,158174,243267,0,0,284296,184190,215225,161163,0,0,221283
120,Shin16,1,143147,191247,160178,154188,238264,308352,168170,247275,183191,263275,300300,182184,217217,161161,0,264264,215217
121,Shin16,6,119125,247255,0,168184,236238,320328,164168,243261,0,0,276288,182182,0,156161,0,0,217221
122,Shin16,1,117119,207215,160174,158190,236258,268332,168176,243245,167167,273273,272280,180182,0,161161,243247,260264,215217
123,Shin16,3,131139,219235,174178,186212,232250,0,168172,219287,159191,269275,0,178196,0,156161,235319,260260,213215
124,Shin16,2,109115,207211,176188,180188,236238,304316,168168,245313,187223,0,0,184188,211211,161163,243243,264268,215215
125,Shin16,2,111125,227247,160160,170210,236236,328332,162168,245249,171187,0,296296,0,211215,161161,235243,260260,217221
126,Shin16,12,119137,223227,0,0,234236,0,0,0,0,0,0,180188,0,0,0,0,217221
127,Shin16,0,117117,211259,174176,180190,240256,280320,164176,245295,187187,261285,280296,182186,211217,161161,235243,256260,213213
128,Shin16,1,127127,163199,160206,174188,240276,0,158168,265265,183199,257261,280296,186200,219225,156161,243243,256260,215251
129,Shin16,0,117139,195195,160174,182212,236236,280344,166170,215275,167243,259267,252280,184192,213219,161161,235235,256260,217217
130,Shin16,2,111125,211295,160178,150182,234238,340344,172172,265265,167235,253267,0,178186,215217,161163,0,260264,221221
131,Shin16,10,131137,175179,0,166170,0,0,168168,0,0,267273,0,188202,211215,0,0,0,0
132,Shin16,1,117157,191199,172174,188204,236240,312344,168172,275279,163167,259279,0,182182,217219,161161,243243,260260,217217
133,Shin16,9,117139,223227,0,156178,256258,0,168168,0,0,0,0,182190,211215,0,0,0,217291
134,Shin16,9,121133,191199,0,0,236240,0,168168,0,0,0,260296,186188,213217,0,0,0,217217
135,Shin16,2,117129,247251,174182,190192,236240,316336,168168,215251,0,269273,280288,184188,0,161161,235243,260260,217217
136,Shin16,1,139157,243303,162174,178214,228240,296320,168176,243287,187195,265293,288296,184200,209211,161161,0,256260,213215
137,Shin16,1,127131,247287,160176,162186,236252,312332,168174,271281,159231,253273,296300,180188,215219,156161,0,260264,221291
138,Shin16,1,109117,231231,160184,154212,238260,304332,168168,221259,183191,255261,284296,182188,0,161161,235243,256256,215283
139,Shin16,2,119121,251283,174178,192210,236236,316320,158168,267275,187251,253261,0,184198,211211,156161,0,256256,215249
140,Shin16,2,117119,239255,174182,182194,236238,268292,168168,269287,183187,261267,268280,180182,217219,161161,0,0,213217
141,Shin16,6,115117,195227,0,142186,226236,320348,166174,261265,171183,0,280300,188196,211211,0,0,0,0
142,Shin16,3,117143,231311,174176,210212,236238,308352,168170,283307,0,241269,292292,186188,0,161161,0,260264,213217
143,Shin16,0,117117,231255,156176,154184,234258,316324,156174,279287,187215,251275,280292,178184,215217,161161,243243,256260,213215
144,Shin16,2,109139,259287,160182,214214,240260,328352,166174,267275,183191,255255,280288,182188,211219,0,0,260260,217291
145,Shin16,2,117131,179187,174174,154186,238238,252324,168168,243247,171195,263265,252284,186190,0,0,243247,256264,215217
146,Shin16,0,119119,187271,160174,168220,236236,340352,168168,243263,187215,255269,280296,188190,213219,161161,243243,256260,221221
147,Shin16,2,117121,211247,0,158158,234240,272336,166178,263299,167187,261267,280296,184188,211215,161161,235235,0,181215
148,Shin16,0,117139,243243,174178,156186,236236,300328,158168,261287,159215,255271,284308,184188,211211,161161,235243,260260,221289
149,Shin16,5,117139,0,0,158188,238286,312316,162174,247255,171187,257285,296324,178186,215215,0,0,0,251285
150,Shin16,10,131143,199243,0,166166,0,0,158164,0,163163,0,0,182186,0,0,0,0,217283
151,Shin16,6,135143,215235,0,188208,234262,0,168174,0,0,0,288304,186188,217225,156163,0,256280,283291
152,Shin16,9,117127,175247,0,192214,234240,0,168168,0,0,0,288292,0,0,161161,0,0,221221
153,Shin16,2,117123,247251,0,178190,246250,284296,164172,215261,179199,259277,0,184188,215217,156161,243243,260260,215221
154,Shin16,2,111111,203251,160166,0,236236,316324,168168,261291,195207,275275,280288,182188,0,161161,235235,256260,215221
155,Shin16,1,109111,183223,174174,156156,236236,316332,156166,243299,159251,237261,0,182182,211219,156161,235235,260260,215249
156,Shin16,4,117141,251259,174178,182214,236260,0,164170,215287,0,261273,0,0,217219,161161,235243,260260,213221
157,Shin16,3,111133,203259,160164,172176,238238,268332,168172,215269,0,271293,284292,182186,0,155161,0,260260,215215
158,Shin16,1,119125,247247,160188,164220,234236,252276,168168,0,191211,257275,284300,184188,211215,161163,235243,260264,215217
159,Shin16,4,121135,227227,178210,158180,234236,332364,0,243271,183191,0,0,182182,211211,156161,0,256260,213251
160,Shin16,1,117117,191247,160174,180208,236236,272328,168178,215275,191207,0,272288,182188,211215,161161,243335,256260,291291
161,Shin16,1,115115,195227,174174,188190,236238,328340,162168,263263,167195,257269,272280,180188,217219,161163,0,256260,291291
162,Shin16,1,121133,0,174182,180208,234236,320340,158162,215251,187195,251273,276288,184194,219219,161161,235243,256260,221253
163,Shin16,4,117121,255259,160178,182182,238240,312368,168178,283299,159183,0,296304,0,0,161163,235267,256260,0
164,pop,0,,,,,,,,,,,,,,,,,
165,pop,0,,,,,,,,,,,,,,,,,
166,pop,0,,,,,,,,,,,,,,,,,
