"","iter","comparisons","p.vals"
"96","14","SHANNON_IDX and GRP and LOCUS","0.0529223551566082"
"97","14","value and variable and LOCUS","0.0492968977018185"
"98","14","hobs and Bay and locus","0.336659875125563"
"99","15","Hs and GRP and LOCUS","0.036123221209645"
"100","15","EVENNESS and GRP and LOCUS","0.161667115955365"
"101","15","Ht and GRP and LOCUS","0.036123221209645"
"102","15","Fis and GRP and LOCUS","0.28220555257319"
"103","15","SHANNON_IDX and GRP and LOCUS","0.0249289519526271"
"104","15","value and variable and LOCUS","0.0492968977018185"
"105","15","hobs and Bay and locus","0.336659875125563"
"106","16","Hs and GRP and LOCUS","0.0169832997607356"
"107","16","EVENNESS and GRP and LOCUS","0.146842387825435"
"108","16","Ht and GRP and LOCUS","0.0169832997607356"
"109","16","Fis and GRP and LOCUS","0.886260168370955"
"110","16","SHANNON_IDX and GRP and LOCUS","0.0159243608083492"
"111","16","value and variable and LOCUS","0.0492968977018185"
"112","16","hobs and Bay and locus","0.336659875125563"
"113","17","Hs and GRP and LOCUS","0.0676612645530827"
"114","17","EVENNESS and GRP and LOCUS","0.128170572917065"
"115","17","Ht and GRP and LOCUS","0.0676612645530827"
"116","17","Fis and GRP and LOCUS","0.894272206089754"
"117","17","SHANNON_IDX and GRP and LOCUS","0.0131188277852148"
"118","17","value and variable and LOCUS","0.0492968977018185"
"119","17","hobs and Bay and locus","0.336659875125563"
"120","18","Hs and GRP and LOCUS","0.0623614661317107"
"121","18","EVENNESS and GRP and LOCUS","0.174490384554541"
"122","18","Ht and GRP and LOCUS","0.0623614661317107"
"123","18","Fis and GRP and LOCUS","0.406005849709838"
"124","18","SHANNON_IDX and GRP and LOCUS","0.0439348401184536"
"125","18","value and variable and LOCUS","0.0492968977018185"
"126","18","hobs and Bay and locus","0.336659875125563"
"127","19","Hs and GRP and LOCUS","0.0467546762950518"
"128","19","EVENNESS and GRP and LOCUS","0.399281375643186"
"129","19","Ht and GRP and LOCUS","0.0467546762950518"
"130","19","Fis and GRP and LOCUS","0.817749211273164"
"131","19","SHANNON_IDX and GRP and LOCUS","0.0295221069262744"
"132","19","value and variable and LOCUS","0.0492968977018185"
"133","19","hobs and Bay and locus","0.336659875125563"
"134","20","Hs and GRP and LOCUS","0.019316927308736"
"135","20","EVENNESS and GRP and LOCUS","0.0146119005813293"
