"","LOCUS","Jam","Mor","Mt","Nap","Shin"
"1","A441",0,0,1,1,0
"2","J42",1,0,1,0,1
"3","PAM21",1,0,1,2,1
"4","PAM27",2,2,2,2,0
"5","PAM79",3,1,1,2,2
"6","PSY022",2,2,0,2,1
"7","PSY087",0,0,0,0,0
"8","WF12",0,0,1,0,0
"9","WF16",1,0,1,1,1
"10","WF196",1,1,1,1,0
"11","WF22",1,2,1,2,2
"12","WF223",0,1,1,2,1
"13","WF3",1,0,1,1,1
"14","WF33",0,3,0,1,1
"15","WF421",1,2,1,4,2
"16","WF517",3,1,2,0,3
