"","iter","pop1","pop2","stat","p.value","test"
"74","1","Mt","Nap",-1.55126306998506,0.120838653114182,"SHANNON_IDX"
"75","1","Mor","Nap",-2.27518583597808,0.0228947841831246,"SHANNON_IDX"
"76","1","Nap","Jam",-0.155126306998506,0.876721743234891,"SHANNON_IDX"
"77","1","Shin","Jam",-1.80980691498257,0.0703257352112192,"SHANNON_IDX"
"78","1","Mt","Jam",-1.86151568398207,0.0626713878689624,"SHANNON_IDX"
"79","1","Mor","Jam",-2.5854384499751,0.00972552354163964,"SHANNON_IDX"
"80","1","Nap","Shin",1.60297183898456,0.108940871577115,"SHANNON_IDX"
"81","2","Jam","Nap",-0.361961382996513,0.717380888414321,"Ht"
"82","2","Jam","Shin",0.568796458994521,0.569494277991719,"Ht"
"83","2","Mt","Shin",1.18930168698854,0.234320971737682,"Ht"
"84","2","Mor","Shin",-1.55126306998506,0.120838653114182,"Ht"
"85","2","Nap","Mt",0.206835075998008,0.836138661741041,"Ht"
"86","2","Jam","Mt",-0.103417537999004,0.917631593467009,"Ht"
"87","2","Shin","Mt",-1.18930168698854,0.234320971737682,"Ht"
"88","2","Mor","Mt",-1.80980691498257,0.0703257352112192,"Ht"
"89","2","Nap","Mor",1.60297183898456,0.108940871577115,"Ht"
"90","2","Jam","Mor",2.06835075998008,0.0386070518424302,"Ht"
"91","2","Shin","Mor",1.55126306998506,0.120838653114182,"Ht"
"92","2","Shin","Nap",-0.723922765993027,0.469113152435454,"Ht"
"93","2","Mt","Mor",1.80980691498257,0.0703257352112192,"Ht"
"94","2","Mt","Nap",-0.206835075998008,0.836138661741041,"Ht"
"95","2","Mor","Nap",-1.60297183898456,0.108940871577115,"Ht"
"96","2","Nap","Jam",0.361961382996513,0.717380888414321,"Ht"
"97","2","Shin","Jam",-0.568796458994521,0.569494277991719,"Ht"
"98","2","Mt","Jam",0.103417537999004,0.917631593467009,"Ht"
"99","2","Mor","Jam",-2.06835075998008,0.0386070518424301,"Ht"
"100","2","Nap","Shin",0.723922765993027,0.469113152435454,"Ht"
"101","2","Jam","Nap",-0.775631534992529,0.437966575166021,"Fis"
"102","2","Jam","Shin",-1.70638937698356,0.0879356071423624,"Fis"
"103","2","Mt","Shin",-1.13759291798904,0.255290505199615,"Fis"
"104","2","Mor","Shin",-0.775631534992529,0.437966575166021,"Fis"
"105","2","Nap","Mt",0.206835075998008,0.836138661741041,"Fis"
"106","2","Jam","Mt",-0.517087689995019,0.605094946454012,"Fis"
"107","2","Shin","Mt",1.13759291798904,0.255290505199615,"Fis"
"108","2","Mor","Mt",-0.310252613997011,0.75636886288107,"Fis"
"109","2","Nap","Mor",0.465378920995517,0.641660126604664,"Fis"
"110","2","Jam","Mor",-0.672213996993525,0.501447471487074,"Fis"
"111","2","Shin","Mor",0.775631534992529,0.43796657516602,"Fis"
"112","2","Shin","Nap",0.413670151996015,0.679115689292816,"Fis"
"113","2","Mt","Mor",0.310252613997011,0.75636886288107,"Fis"
"114","2","Mt","Nap",-0.206835075998008,0.836138661741041,"Fis"
"115","2","Mor","Nap",-0.465378920995517,0.641660126604665,"Fis"
"116","2","Nap","Jam",0.775631534992529,0.43796657516602,"Fis"
"117","2","Shin","Jam",1.70638937698356,0.0879356071423625,"Fis"
"118","2","Mt","Jam",0.517087689995019,0.605094946454012,"Fis"
"119","2","Mor","Jam",0.672213996993525,0.501447471487074,"Fis"
"120","2","Nap","Shin",-0.413670151996015,0.679115689292816,"Fis"
"121","2","Jam","Nap",1.29271922498755,0.196108186094187,"EVENNESS"
"122","2","Jam","Shin",0.930757841991035,0.351978841671362,"EVENNESS"
"123","2","Mt","Shin",0.103417537999004,0.917631593467009,"EVENNESS"
"124","2","Mor","Shin",-0.930757841991035,0.351978841671362,"EVENNESS"
"125","2","Nap","Mt",0,1,"EVENNESS"
"126","2","Jam","Mt",1.39613676298655,0.162673315071947,"EVENNESS"
"127","2","Shin","Mt",-0.103417537999004,0.917631593467009,"EVENNESS"
"128","2","Mor","Mt",-1.08588414898954,0.277530250595145,"EVENNESS"
"129","2","Nap","Mor",2.06835075998008,0.0386070518424302,"EVENNESS"
"130","2","Jam","Mor",2.06835075998008,0.0386070518424302,"EVENNESS"
"131","2","Shin","Mor",0.930757841991035,0.351978841671362,"EVENNESS"
"132","2","Shin","Nap",-0.25854384499751,0.795987215388627,"EVENNESS"
"133","2","Mt","Mor",1.08588414898954,0.277530250595145,"EVENNESS"
"134","2","Mt","Nap",0,1,"EVENNESS"
"135","2","Mor","Nap",-2.06835075998008,0.0386070518424301,"EVENNESS"
"136","2","Nap","Jam",-1.29271922498755,0.196108186094187,"EVENNESS"
"137","2","Shin","Jam",-0.930757841991035,0.351978841671362,"EVENNESS"
"138","2","Mt","Jam",-1.39613676298655,0.162673315071947,"EVENNESS"
"139","2","Mor","Jam",-2.06835075998008,0.0386070518424301,"EVENNESS"
"140","2","Nap","Shin",0.25854384499751,0.795987215388627,"EVENNESS"
"141","2","Jam","Nap",0.155126306998506,0.876721743234891,"SHANNON_IDX"
"142","2","Jam","Shin",1.29271922498755,0.196108186094187,"SHANNON_IDX"
