"","LOCUS","Jam","Mor","Mt","Nap","Shin"
"1","A441",0.458257569495584,0,1.21243556529821,1.0770329614269,0.7
"2","J42",1.10905365064094,0.529150262212918,1.13578166916005,0.424264068711929,0.768114574786861
"3","PAM21",0.888819441731559,0,0.92736184954957,1.22474487139159,0.830662386291807
"4","PAM27",1.25299640861417,1.27671453348037,1.33416640641263,1.2328828005938,0.435889894354067
"5","PAM79",1.7,0.781024967590665,0.9,1.52643375224737,1.33041346956501
"6","PSY022",1.4142135623731,1.26491106406735,0.678232998312527,1.42828568570857,0.768114574786861
"7","PSY087",0.692820323027551,0,0.479583152331272,0,0.360555127546399
"8","WF12",0,0,1.00498756211209,0.1,0.435889894354067
"9","WF16",0.714142842854285,0.489897948556636,1.22065556157337,1.18321595661992,1.06770782520313
"10","WF196",0.866025403784439,0.8,0.99498743710662,1.0295630140987,0.608276253029822
"11","WF22",1.06770782520313,1.29228479833201,0.748331477354788,1.39642400437689,1.56524758424985
"12","WF223",0.509901951359279,1,1.21243556529821,1.52643375224737,1.10905365064094
"13","WF3",0.848528137423857,0,1.12249721603218,1,0.905538513813742
"14","WF33",0.316227766016838,1.59059737205869,0.678232998312527,1.21655250605964,1.19582607431014
"15","WF421",1.0816653826392,1.33790881602597,0.812403840463596,1.98494332412792,1.24096736459909
"16","WF517",1.78605710994918,1.05830052442584,1.26095202129185,0.374165738677394,1.83303027798234
