Location	J42	WF22	PAM27	PAM79	WF16	WF33	WF3	WF517	WF196	WF223	WF421	A441	PAM21	Psy087	Psy022	WF12	WF32
pop																	
Nap	131133	179215	160210	164170	236238	340352	168168	261267	243251	255267	276288	182184	0	155161	227235	260260	0
Nap	119131	239259	166166	0	0	0	166168	279291	183215	273281	288312	0	0	161161	0	0	215291
Nap	117119	191255	174178	176182	226238	272328	168168	0	0	277281	236268	186196	211221	155161	235243	256260	181217
Nap	117121	183247	160176	178216	238258	276296	0	261287	171191	263263	236292	182186	215219	155161	243243	260260	0
Nap	117117	175211	160174	176186	236262	252268	168176	247263	171207	275279	288300	182226	0	155161	243243	256264	0
Nap	109111	191259	176184	170190	238254	316320	170174	257291	159195	273289	288320	0	215215	155161	235267	260260	0
Nap	121127	231231	174182	168206	236238	276348	170170	283295	183195	245247	252300	184196	0	161163	235243	256256	221289
Nap	117125	195247	178212	188210	244258	312316	168178	279307	159215	233275	0	0	0	161163	0	260264	215283
Nap	117121	211219	160160	182210	236236	288348	162170	263283	183255	265281	268292	0	0	161161	243243	260264	217283
Nap	117131	187243	178178	178184	236236	272320	166174	277287	167187	275285	276296	0	0	156161	243335	260260	217253
Nap	117125	223235	176180	184206	238240	296340	156168	219279	187191	0	272288	0	0	163163	243243	260260	0
Nap	115117	195243	174174	168182	240258	252348	168178	279307	159215	233275	276288	0	0	161163	231243	256256	0
Nap	119125	235239	160180	178188	238260	0	0	219247	187187	267275	280292	0	0	155161	243243	256256	221221
Nap	117131	215235	176188	166198	236240	324324	168176	255303	183215	253257	284336	180188	223225	155161	243243	0	215215
Nap	111123	179227	176178	186188	236238	316352	168174	263275	183195	261267	284296	180182	219219	161161	235243	260264	209217
Nap	117121	207259	166174	142220	234238	272316	156168	243279	167167	261281	0	180184	219219	161163	235243	260260	217221
Nap	117127	179239	0	158214	238260	320320	168170	287291	195251	261271	280296	0	211217	161161	235243	256260	0
Nap	119139	255275	0	178198	236236	272316	168174	0	0	257271	276292	180180	0	161161	235243	0	0
Nap	109117	227235	166182	158194	230234	312328	168172	243275	167187	277289	280308	0	215215	156161	235235	0	217221
Nap	117131	187267	180180	180182	236238	272320	162170	251267	155187	237269	292304	0	215217	156161	235243	256264	215215
Nap	121133	227247	174174	176186	260286	280280	168176	247287	195195	271279	268284	190198	0	156161	235243	260264	215283
Nap	115119	183251	174180	156208	238250	324344	0	243283	167195	257269	292316	184188	215219	156161	0	256260	219259
Nap	127143	179223	160160	0	238260	0	168172	247261	179191	0	280292	180188	0	155161	235243	260264	0
Nap	117119	207291	160180	156204	238240	304316	0	247283	187191	255271	232276	184186	217217	155161	235243	256264	0
Nap	117117	223259	0	182188	240260	0	158162	259275	203219	241263	284356	0	217221	161161	235243	0	0
Nap	117137	163279	178184	182192	236236	316324	168168	0	0	257261	280288	184188	0	161163	243315	256260	217283
Nap	117125	163179	160160	148194	236236	296302	162174	283291	191219	259285	292300	0	215215	161161	235243	260264	221291
Nap	133135	191263	174180	154168	250260	248308	166176	261291	167215	275275	292300	0	215215	156161	235243	260260	0
Nap	119139	159231	174178	184224	238240	280360	168168	287291	163187	257269	268316	0	211211	156161	235243	260264	0
Nap	109127	211231	172176	178206	228238	268332	168192	271283	167195	261261	292300	0	0	156161	235243	260264	257257
Nap	133137	227235	174212	178190	236250	280324	168174	255267	167195	281285	292296	0	215219	161161	235243	260260	215251
pop																	
Mor	119121	199211	174174	182188	236238	296352	156168	271283	159191	251277	280292	180188	0	156161	235243	260260	215217
Mor	117125	183283	160174	148200	236250	308312	168168	275275	187187	0	0	184190	0	161161	235235	256256	215215
Mor	109143	0	160174	0	238256	0	172174	267275	191243	241263	0	188188	0	161161	0	0	221259
Mor	117119	207287	0	180182	236236	256268	166168	263271	175215	259275	268292	0	0	156161	235243	260260	283285
Mor	117117	175243	178178	180182	230240	312340	168172	215271	155243	265289	268280	178186	0	156161	0	260260	0
Mor	117129	223239	160160	180184	234238	268340	168168	247247	175195	255275	0	0	211211	155161	235243	260264	291291
Mor	117131	183199	174174	166168	240264	300332	172174	281307	167211	245285	292300	184186	213217	155161	235243	260260	0
Mor	121125	187251	162174	170212	238242	320344	168168	0	183231	265269	284300	0	213217	161161	235243	256260	217217
Mor	111117	303307	160180	166182	238240	252320	166168	283283	167183	269275	280304	0	0	155161	235243	256260	213217
Mor	143157	231259	160182	158180	238238	316380	166168	271275	171187	0	280296	0	0	161161	227243	256264	217221
Mor	117117	239243	160174	184202	236286	320328	168172	259291	187211	0	0	0	0	156161	243243	256260	0
Mor	111111	175231	160176	184194	236256	252320	168172	239295	167251	267281	280296	0	215219	156161	235247	260260	0
Mor	117133	263275	160174	158218	238250	316316	168168	247247	167207	259259	292300	0	211215	156161	243243	256260	221221
Mor	111115	219255	174176	170190	240286	316348	158164	265281	187207	265273	288292	188190	213217	156161	243267	260260	0
Mor	117143	227255	160184	156188	238250	272316	168172	247291	159231	255277	0	0	217219	156161	235235	256264	0
Mor	115123	235251	0	180184	236238	316336	162174	263263	167183	0	268292	0	211211	161161	243243	256260	0
Mor	117143	231239	178200	144172	236238	340364	168174	215251	167187	273277	292308	182188	217217	156161	235243	256264	215215
Mor	117117	215223	174178	168168	240258	300312	158170	243299	167175	259273	228296	182184	215219	161163	235243	260260	249249
Mor	117121	227247	160160	182214	240286	296328	156168	0	167175	269277	288288	188188	217225	161161	235243	260260	215217
Mor	117143	247279	174200	180188	236236	284380	168168	257261	183199	269277	280300	0	0	161163	227319	260260	249283
Mor	109117	195235	174176	154168	234238	324376	168168	243277	187211	265277	244304	182186	211217	161163	235243	260264	177221
Mor	133139	243287	170178	180198	238252	316320	166178	0	159171	261275	284296	182188	217219	161161	235243	260264	215249
Mor	117125	231251	174178	166182	234236	344360	158168	271295	159215	0	280312	182196	215219	161161	235243	260260	215257
Mor	117125	195227	174178	158206	236258	324332	168174	247279	167183	255287	280296	182184	217217	161163	235267	260260	0
Mor	117121	207243	160174	166188	256262	300340	156170	279313	167179	255275	284288	180196	217217	155161	243319	256256	0
Mor	117117	179187	0	188190	258264	272320	168174	247261	167187	267267	288296	0	211219	161161	235295	256260	0
Mor	119139	175243	160174	186188	236250	304360	168170	243261	0	281281	248292	0	0	161163	235243	0	0
Mor	111139	227251	178178	192208	234236	272316	168172	261279	167175	253269	284292	0	211211	161163	227235	264264	0
Mor	111123	187275	0	170182	238238	320340	172174	0	187215	259289	268284	180180	0	156161	235267	256260	0
Mor	117125	231263	160174	202220	236238	264272	168170	243271	167171	265269	292320	180182	215217	161161	235235	260264	0
pop																	
Jam	111117	231247	174174	166212	238260	320348	164174	281291	167171	255281	300304	0	215215	156161	235243	256256	213221
Jam	117117	207303	160210	154216	236236	292316	162168	215261	167199	245289	276284	182184	213217	163163	219227	256260	215247
Jam	117157	183203	178178	156170	236236	288300	168178	0	167195	261277	296300	182186	0	156161	235243	256264	215217
Jam	117121	223259	174174	148190	238240	276320	176178	0	187191	0	284288	180190	213217	161161	235243	256260	217283
Jam	111159	187267	160178	178210	236240	328336	156176	265275	183191	251269	296296	0	211217	155161	235267	260264	215215
Jam	115139	223231	160174	168206	234236	316328	156168	251267	167191	261269	284296	0	215215	155161	243243	260264	177215
Jam	115121	199207	174174	190226	240258	300348	174176	223245	159227	255267	308320	180188	217219	155161	235243	260260	211221
Jam	109125	199203	160180	166206	236286	284300	166170	221303	159183	269277	276292	180180	211215	155161	243243	260264	0
Jam	111117	175223	176178	144180	234234	284308	168170	267281	167211	257267	276304	180182	0	0	235243	260260	211253
Jam	109123	239259	160174	154156	234236	0	156168	247281	179195	245275	296312	0	215217	161161	243243	260264	211221
Jam	117141	223227	160174	192208	238250	272312	170170	271295	167199	237257	284292	188190	219219	155161	235243	256260	179283
Jam	133143	251259	160174	200260	238252	296324	166168	245303	179199	269281	0	178178	217219	161161	235243	256260	273283
Jam	111117	211247	174176	186202	236236	316336	166172	245251	155171	261273	292304	0	211219	161161	235243	260264	207215
Jam	111127	183243	174180	0	234250	328344	172174	0	183235	0	0	0	219219	161161	235243	256260	0
Jam	119143	175179	160174	152172	240250	288312	168170	259283	183187	259273	288304	178186	225227	156161	235243	260260	283283
Jam	117119	175191	160178	144172	238262	252280	168174	287287	171199	257279	272280	178182	213213	161161	235267	260264	205213
Jam	117141	179215	160174	178216	236260	268296	168168	221247	191195	259269	280288	184186	217219	161161	243243	256260	217217
Jam	123139	215247	160174	178182	228230	324324	168170	245297	183203	259275	276292	184188	0	161163	235243	260260	205213
Jam	117117	187235	174182	180184	0	288312	156176	265281	191219	263265	260312	186188	0	155161	243243	256260	215251
Jam	123125	195203	174206	0	236238	252256	168174	245277	159167	257293	280288	184190	215217	161161	235243	260264	211221
Jam	117139	175259	160174	182212	238240	292360	156168	271291	195199	269271	284292	188192	215217	161161	243243	256256	211221
Jam	123125	239251	174184	168182	236260	300332	0	279295	167183	255263	268292	180182	213215	161163	235243	260264	215257
Jam	125143	203203	152164	170214	242286	320332	166168	275281	167215	261269	292300	182190	0	161163	235243	264264	217251
Jam	117137	227251	162174	172208	252260	276320	172184	251275	167191	257267	296304	0	211219	155161	243243	256260	293325
Jam	143147	239279	174174	158188	238238	316352	168174	265295	191215	257275	284292	180188	217217	155161	235243	256260	211221
Jam	137139	255263	0	150154	236238	280352	168168	245253	187195	255281	0	0	0	161161	243243	256260	215283
Jam	119147	171239	160178	168168	236242	308316	168174	247281	159203	257269	288296	186186	0	155161	0	260260	211221
Jam	117117	179183	160178	0	238238	296340	156168	283283	167195	245279	268284	0	215219	161163	235235	260260	217217
Jam	117133	227235	160160	166178	238240	308344	168178	287317	191215	267275	284304	0	217219	161161	235235	256260	213215
