wfgenepop_20_Sept2020,,,,,,,,,,,,,,,,,,,,
J42,,"WF22,","PAM27,","PAM79,","WF27,","WF16,","WF33,","WF3,","WF517,","WF196,","WF223,","WF421,","A441,","PAM21,","Psy087,","Psy022,","WF06,","WF12,","WF01,",WF32
"52,",117133,263275,160174,158218,297309,238250,316316,168168,247247,167207,259259,292300,0,211215,156161,243243,0,256260,0,221221
"53,",111115,219255,174176,170190,309341,240286,316348,158164,265281,187207,265273,288292,188190,213217,156161,243267,260260,260260,266290,0
"54,",117143,227255,160184,156188,265309,238250,272316,168172,247291,159231,255277,0,0,217219,156161,235235,260260,256264,278290,0
"55,",115123,235251,0,180184,309329,236238,316336,162174,263263,167183,0,268292,0,211211,161161,243243,0,256260,262290,0
"56,",117143,231239,178200,144172,333357,236238,340364,168174,215251,167187,273277,292308,182188,217217,156161,235243,0,256264,0,215215
"57,",117117,215223,174178,168168,293309,240258,300312,158170,243299,167175,259273,228296,182184,215219,161163,235243,248260,260260,0,249249
"58,",117121,227247,160160,182214,289321,240286,296328,156168,0,167175,269277,288288,188188,217225,161161,235243,252256,260260,0,215217
"59,",117143,247279,174200,180188,277373,236236,284380,168168,257261,183199,269277,280300,0,0,161163,227319,244260,260260,0,249283
"60,",109117,195235,174176,154168,317369,234238,324376,168168,243277,187211,265277,244304,182186,211217,161163,235243,252252,260264,242258,177221
"61,",133139,243287,170178,180198,309313,238252,316320,166178,0,159171,261275,284296,182188,217219,161161,235243,0,260264,290290,215249
"62,",117125,231251,174178,166182,353353,234236,344360,158168,271295,159215,0,280312,182196,215219,161161,235243,256256,260260,0,215257
"63,",117125,195227,174178,158206,325325,236258,324332,168174,247279,167183,255287,280296,182184,217217,161163,235267,256264,260260,278290,0
"64,",117121,207243,160174,166188,293333,256262,300340,156170,279313,167179,255275,284288,180196,217217,155161,243319,256256,256256,0,0
"65,",117117,179187,0,188190,265313,258264,272320,168174,247261,167187,267267,288296,0,211219,161161,235295,244256,256260,282290,0
"66,",119139,175243,160174,186188,301353,236250,304360,168170,243261,0,281281,248292,0,0,161163,235243,256268,0,0,0
"67,",111139,227251,178178,192208,265309,234236,272316,168172,261279,167175,253269,284292,0,211211,161163,227235,256256,264264,0,0
"68,",111123,187275,0,170182,313333,238238,320340,172174,0,187215,259289,268284,180180,0,156161,235267,256260,256260,0,0
"69,",117125,231263,160174,202220,261265,236238,264272,168170,243271,167171,265269,292320,180182,215217,161161,235235,256264,260264,0,0
pop,,,,,,,,,,,,,,,,,,,,
"70,",111117,231247,174174,166212,313341,238260,320348,164174,281291,167171,255281,300304,0,215215,156161,235243,0,256256,0,213221
"71,",117117,207303,160210,154216,285309,236236,292316,162168,215261,167199,245289,276284,182184,213217,163163,219227,256260,256260,0,215247
"72,",117157,183203,178178,156170,289293,236236,288300,168178,0,167195,261277,296300,182186,0,156161,235243,256256,256264,0,215217
"73,",117121,223259,174174,148190,269313,238240,276320,176178,0,187191,0,284288,180190,213217,161161,235243,256256,256260,0,217283
"74,",111159,187267,160178,178210,321329,236240,328336,156176,265275,183191,251269,296296,0,211217,155161,235267,260268,260264,0,215215
"75,",115139,223231,160174,168206,309321,234236,316328,156168,251267,167191,261269,284296,0,215215,155161,243243,264264,260264,266286,177215
"76,",115121,199207,174174,190226,289341,240258,300348,174176,223245,159227,255267,308320,180188,217219,155161,235243,260260,260260,0,211221
"77,",109125,199203,160180,166206,277293,236286,284300,166170,221303,159183,269277,276292,180180,211215,155161,243243,252268,260264,0,0
"78,",111117,175223,176178,144180,277301,234234,284308,168170,267281,167211,257267,276304,180182,0,0,235243,256260,260260,238238,211253
"79,",109123,239259,160174,154156,277329,234236,0,156168,247281,179195,245275,296312,0,215217,161161,243243,244256,260264,0,211221
"80,",117141,223227,160174,192208,265305,238250,272312,170170,271295,167199,237257,284292,188190,219219,155161,235243,256256,256260,0,179283
"81,",133143,251259,160174,200260,289317,238252,296324,166168,245303,179199,269281,0,178178,217219,161161,235243,256256,256260,0,273283
"82,",111117,211247,174176,186202,309329,236236,316336,166172,245251,155171,261273,292304,0,211219,161161,235243,264264,260264,0,207215
"83,",111127,183243,174180,0,321337,234250,328344,172174,0,183235,0,0,0,219219,161161,235243,244248,256260,250286,0
"84,",119143,175179,160174,152172,281305,240250,288312,168170,259283,183187,259273,288304,178186,225227,156161,235243,264272,260260,0,283283
"85,",117119,175191,160178,144172,245273,238262,252280,168174,287287,171199,257279,272280,178182,213213,161161,235267,256260,260264,266286,205213
"86,",117141,179215,160174,178216,261289,236260,268296,168168,221247,191195,259269,280288,184186,217219,161161,243243,244256,256260,258286,217217
"87,",123139,215247,160174,178182,317317,228230,324324,168170,245297,183203,259275,276292,184188,0,161163,235243,256256,260260,0,205213
"88,",117117,187235,174182,180184,281305,0,288312,156176,265281,191219,263265,260312,186188,0,155161,243243,256256,256260,290290,215251
"89,",123125,195203,174206,0,245249,236238,252256,168174,245277,159167,257293,280288,184190,215217,161161,235243,248248,260264,290290,211221
"90,",117139,175259,160174,182212,285353,238240,292360,156168,271291,195199,269271,284292,188192,215217,161161,243243,288288,256256,0,211221
"91,",123125,239251,174184,168182,293325,236260,300332,0,279295,167183,255263,268292,180182,213215,161163,235243,256264,260264,0,215257
"92,",125143,203203,152164,170214,313325,242286,320332,166168,275281,167215,261269,292300,182190,0,161163,235243,256256,264264,0,217251
"93,",117137,227251,162174,172208,269313,252260,276320,172184,251275,167191,257267,296304,0,211219,155161,243243,256260,256260,0,293325
"94,",143147,239279,174174,158188,309345,238238,316352,168174,265295,191215,257275,284292,180188,217217,155161,235243,256260,256260,0,211221
"95,",137139,255263,0,150154,277345,236238,280352,168168,245253,187195,255281,0,0,0,161161,243243,256260,256260,254290,215283
"96,",119147,171239,160178,168168,301309,236242,308316,168174,247281,159203,257269,288296,186186,0,155161,0,244244,260260,0,211221
"97,",117117,179183,160178,0,289333,238238,296340,156168,283283,167195,245279,268284,0,215219,161163,235235,256256,260260,0,217217
"98,",117133,227235,160160,166178,301337,238240,308344,168178,287317,191215,267275,284304,0,217219,161161,235235,248248,256260,0,213215
"99,",109111,243315,160160,174180,261301,236238,268308,174174,251283,171251,0,280288,182184,215215,157161,243243,268268,256260,0,0
"100,",125143,207275,174176,150166,313317,236236,320324,168178,267267,167219,251261,320332,180186,211217,156161,243243,268268,260264,270290,221221
"101,",125143,207275,0,182194,313317,250264,288324,168174,253317,175191,237279,268292,180186,215217,161163,235311,248268,256260,0,213221
pop,,,,,,,,,,,,,,,,,,,,
"102,",117137,183247,174174,154216,281337,244260,288344,168170,251275,167243,261273,292296,184188,211219,156161,235243,256256,260260,250286,251283
"103,",109111,243251,160178,180208,233245,230238,252364,162168,215253,167187,257261,280292,0,215219,161161,243243,244244,260264,0,209217
"104,",111117,215227,174178,182208,293333,234236,300340,172174,247279,187191,257267,296300,182182,211217,161161,235235,0,260260,0,215215
"105,",117133,203219,160174,168188,293305,250258,0,168168,215271,159171,261273,0,180184,215219,156161,235243,248256,256264,0,215283
"106,",117131,247255,174182,174182,269317,234250,288324,158168,243271,159223,245257,284288,188200,0,155161,243247,256260,256260,0,249249
"107,",117135,183187,174178,202204,265277,236238,284364,158168,245281,191195,259259,284288,194196,217219,155161,243243,256260,256260,0,215291
"108,",117117,247251,176182,176178,333337,236250,340344,168168,259285,167187,261289,0,182194,215215,155161,243243,264264,256260,278290,213251
"110,",109119,227227,182188,188212,273349,236238,292356,168168,263263,167195,257275,0,186188,0,161165,0,244248,256260,0,217217
"111,",141143,179231,176178,144182,293329,234236,300336,166168,241291,191195,255265,284308,180188,217219,161161,243243,252252,256260,0,217285
"112,",123131,219243,166178,156184,269337,234236,276344,156168,291291,187211,253269,0,0,211219,155161,0,244264,260260,278286,215215
"114,",117117,211251,174174,170182,0,240240,292320,156168,247261,163191,0,0,188190,217225,161161,243319,256264,256256,0,215215
"115,",119119,183247,176210,176254,309341,238260,316348,168168,313313,183187,0,292300,0,211213,161161,235243,264268,260260,0,217217
"116,",117147,179319,178182,170206,265285,238242,268292,168172,253263,167191,0,296296,180182,0,161161,235235,256256,264264,290306,215217
