"","locus","Bay","mean.hexp","sd.hexp","mean.hobs","sd.hobs","mean.hexhobs","sd.hexhobs"
"1","A441","Jam",0.851239669421488,0,0.863636363636364,0,-0.012396694214876,0
"2","A441","Mor",0.825443786982249,0,0.923076923076923,0,-0.0976331360946746,0
"3","A441","Mt",0.867102734205468,0,0.881889763779528,0,-0.0147870295740591,0
"4","A441","Nap",0.850694444444444,0,1,0,-0.149305555555556,0
"5","A441","Shin",0.85888671875,0,0.8125,0,0.04638671875,0
"6","J42","Jam",0.879812695109261,0,0.903225806451613,0,-0.0234131113423517,0
"7","J42","Mor",0.7890625,0,0.833333333333333,0,-0.0442708333333334,0
"8","J42","Mt",0.877008530053561,0,0.866197183098592,0,0.0108113469549693,0
"9","J42","Nap",0.850591715976331,0,0.961538461538462,0,-0.11094674556213,0
"10","J42","Shin",0.845044378698225,0,0.826923076923077,0,0.018121301775148,0
"11","PAM21","Jam",0.783854166666667,0,0.75,0,0.0338541666666666,0
"12","PAM21","Mor",0.759002770083103,0,0.684210526315789,0,0.0747922437673131,0
"13","PAM21","Mt",0.80283636800673,0,0.744186046511628,0,0.0586503214951024,0
"14","PAM21","Nap",0.746666666666667,0,0.466666666666667,0,0.28,0
"15","PAM21","Shin",0.799774817038844,0,0.780821917808219,0,0.0189528992306249,0
"16","PAM27","Jam",0.740190249702735,0,0.758620689655172,0,-0.0184304399524375,0
"17","PAM27","Mor",0.776643990929705,0,0.714285714285714,0,0.062358276643991,0
"18","PAM27","Mt",0.838966260707418,0,0.801526717557252,0,0.0374395431501661,0
"19","PAM27","Nap",0.8608,0,0.76,0,0.1008,0
"20","PAM27","Shin",0.822603878116344,0,0.821052631578947,0,0.00155124653739613,0
"21","PAM79","Jam",0.957788347205707,0,0.96551724137931,0,-0.0077288941736029,0
"22","PAM79","Mor",0.928819444444444,0,0.958333333333333,0,-0.029513888888889,0
"23","PAM79","Mt",0.95628202272221,0,0.940298507462687,0,0.0159835152595232,0
"24","PAM79","Nap",0.952662721893491,0,1,0,-0.0473372781065089,0
"25","PAM79","Shin",0.954289879216993,0,0.887755102040816,0,0.0665347771761766,0
"26","PSY022","Jam",0.554444444444445,0,0.6,0,-0.0455555555555555,0
"27","PSY022","Mor",0.651228733459357,0,0.826086956521739,0,-0.174858223062382,0
"28","PSY022","Mt",0.57,0,0.633333333333333,0,-0.0633333333333334,0
"29","PSY022","Nap",0.578993055555556,0,0.75,0,-0.171006944444444,0
"30","PSY022","Shin",0.611615016376921,0,0.650793650793651,0,-0.0391786344167296,0
"31","PSY087","Jam",0.536666666666667,0,0.633333333333333,0,-0.0966666666666667,0
"32","PSY087","Mor",0.537326388888889,0,0.708333333333333,0,-0.171006944444445,0
"33","PSY087","Mt",0.463784517881394,0,0.567375886524823,0,-0.103591368643428,0
"34","PSY087","Nap",0.607248520710059,0,0.769230769230769,0,-0.16198224852071,0
"35","PSY087","Shin",0.407018919713754,0,0.485148514851485,0,-0.0781295951377315,0
"36","WF12","Jam",0.604058272632674,0,0.709677419354839,0,-0.105619146722164,0
"37","WF12","Mor",0.519965277777778,0,0.458333333333333,0,0.0616319444444444,0
"38","WF12","Mt",0.618271604938272,0,0.666666666666667,0,-0.048395061728395,0
"39","WF12","Nap",0.587673611111111,0,0.583333333333333,0,0.00434027777777779,0
"40","WF12","Shin",0.6151,0,0.61,0,0.00509999999999999,0
"41","WF16","Jam",0.829444444444444,0,0.766666666666667,0,0.0627777777777777,0
"42","WF16","Mor",0.849826388888889,0,0.916666666666667,0,-0.0668402777777778,0
"43","WF16","Mt",0.845194348118627,0,0.884892086330935,0,-0.0396977382123079,0
