"","chi^2","df","Pr(chi^2 >)","Pr.exact","pop","pval.adj","p.chi","p.chi.adj"
"WF16...277",216.355935909435,210,0.36710926773562,0.211,"Atl",0.693428616833948,"in","in"
"WF33...278",596.916201522038,561,0.142313898327535,0.032,"Atl",0.34561946736687,"in","in"
"WF3...279",84.2998557145832,120,0.994442042572375,0.426,"Atl",0.998402034646288,"in","in"
"WF517...280",768.707820616094,703,0.0428791673725277,0.001,"Atl",0.145789169066594,"out","in"
"WF196...281",220.996845281646,276,0.993590496743965,0.866,"Atl",0.998402034646288,"in","in"
"WF223...282",330.428821795712,351,0.778407883530791,0.217,"Atl",0.998402034646288,"in","in"
"WF421...283",265.016252731808,253,0.289281688434354,0.163,"Atl",0.614723587923001,"in","in"
"A441...284",72.1196290027042,78,0.666196994236218,0.36,"Atl",0.998402034646288,"in","in"
"PAM21...285",124.22864215959,55,2.86887443912143e-07,0.017,"Atl",2.43854327325321e-06,"out","out"
"PSY087...286",35.850976627274,15,0.00185743038910491,0,"Atl",0.0105254388715945,"out","out"
"PSY022...287",80.0171593080399,66,0.115048276118044,0.065,"Atl",0.325970115667791,"in","in"
"WF12...288",3.28241341562042,6,0.772656843820679,0.625,"Atl",0.998402034646288,"in","in"
"WF32...289",304.278144332452,253,0.0149755571177953,0,"Atl",0.06364611775063,"out","in"
