"","pop1","pop2","stat","p.value","test","bonferroni","significance"
"45","Jam","Nap",1.06510740374509,0.286827329244437,"EVENNESS",0.005,"not significant"
"46","Mor","Nap",-2.01186954040739,0.0442336910136779,"EVENNESS",0.005,"not significant"
"47","Mt","Nap",-3.19532221123527,0.00139674808900751,"EVENNESS",0.005,"significant"
"48","Shin","Nap",-3.00596978390281,0.00264735303359017,"EVENNESS",0.005,"significant"
"49","Jam","Shin",3.38467463856773,0.000712626702437991,"EVENNESS",0.005,"significant"
"50","Mor","Shin",1.91719332674116,0.0552133755427149,"EVENNESS",0.005,"not significant"
"51","Mt","Shin",1.15978361741132,0.246136915767426,"EVENNESS",0.005,"not significant"
"52","Mt","Jam",-3.24266031806838,0.00118419303566409,"EVENNESS",0.005,"significant"
"53","Nap","Shin",3.00596978390281,0.00264735303359021,"EVENNESS",0.005,"significant"
"54","Nap","Jam",-1.06510740374509,0.286827329244437,"EVENNESS",0.005,"not significant"
"55","Shin","Jam",-3.38467463856773,0.000712626702438048,"EVENNESS",0.005,"significant"
"56","Jam","Mor",1.82251711307493,0.0683765595243733,"EVENNESS",0.005,"not significant"
"57","Mt","Mor",-1.49115036524313,0.135922021653857,"EVENNESS",0.005,"not significant"
"58","Nap","Mor",2.01186954040739,0.0442336910136778,"EVENNESS",0.005,"not significant"
"59","Shin","Mor",-1.91719332674116,0.0552133755427148,"EVENNESS",0.005,"not significant"
"60","Jam","Mt",3.24266031806838,0.00118419303566419,"EVENNESS",0.005,"significant"
"61","Mor","Jam",-2.76927924973723,0.00561804605649889,"SHANNON_IDX",0.005,"not significant"
"62","Mor","Mt",-3.2899984249015,0.00100187943579677,"SHANNON_IDX",0.005,"significant"
"63","Nap","Mt",-2.53258871557166,0.0113223714494854,"SHANNON_IDX",0.005,"not significant"
"64","Shin","Mt",-1.7278408994087,0.0840167525117228,"SHANNON_IDX",0.005,"not significant"
"65","Jam","Nap",0.923093083245744,0.355958698846575,"SHANNON_IDX",0.005,"not significant"
"66","Mor","Nap",-2.48525060873854,0.0129460261274816,"SHANNON_IDX",0.005,"not significant"
"67","Mt","Nap",2.53258871557166,0.0113223714494854,"SHANNON_IDX",0.005,"not significant"
"68","Shin","Nap",2.43791250190543,0.0147723491685372,"SHANNON_IDX",0.005,"not significant"
"69","Jam","Shin",-2.48525060873854,0.0129460261274816,"SHANNON_IDX",0.005,"not significant"
"70","Mor","Shin",-3.19532221123527,0.00139674808900751,"SHANNON_IDX",0.005,"significant"
"71","Mt","Shin",1.7278408994087,0.0840167525117228,"SHANNON_IDX",0.005,"not significant"
"72","Mt","Jam",2.95863167706969,0.00309008192436067,"SHANNON_IDX",0.005,"significant"
"73","Nap","Shin",-2.43791250190543,0.0147723491685371,"SHANNON_IDX",0.005,"not significant"
"74","Nap","Jam",-0.923093083245744,0.355958698846575,"SHANNON_IDX",0.005,"not significant"
"75","Shin","Jam",2.48525060873854,0.0129460261274816,"SHANNON_IDX",0.005,"not significant"
"76","Jam","Mor",2.76927924973723,0.00561804605649896,"SHANNON_IDX",0.005,"not significant"
"77","Mt","Mor",3.2899984249015,0.00100187943579666,"SHANNON_IDX",0.005,"significant"
"78","Nap","Mor",2.48525060873854,0.0129460261274816,"SHANNON_IDX",0.005,"not significant"
"79","Shin","Mor",3.19532221123527,0.00139674808900758,"SHANNON_IDX",0.005,"significant"
"80","Jam","Mt",-2.95863167706969,0.00309008192436067,"SHANNON_IDX",0.005,"significant"
